Symbol,Name,Country,Date,Type,Last,Unit,URL,Importance,Forecast1,ForecastDate1,Forecast2,ForecastDate2,Forecast3,ForecastDate3,Forecast4,ForecastDate4
EURUSD:CUR,EURUSD,Euro Area,2024-11-22T12:05:00.287,currency,1.04152,,/euro-area/currency,1,1.069173,31/12/2024,1.062935,31/03/2025,1.056805,30/06/2025,1.050676,30/09/2025
GBPUSD:CUR,GBPUSD,United Kingdom,2024-11-22T12:05:13.827,currency,1.25131,,/united-kingdom/currency,2,1.281744,31/12/2024,1.273488,31/03/2025,1.265361,30/06/2025,1.257234,30/09/2025
AUDUSD:CUR,AUDUSD,Australia,2024-11-22T12:05:24.75,currency,0.65019,,/australia/currency,3,0.652308,31/12/2024,0.646781,31/03/2025,0.641255,30/06/2025,0.635795,30/09/2025
NZDUSD:CUR,NZDUSD,New Zealand,2024-11-22T12:04:59.487,currency,0.58399,,/new-zealand/currency,4,0.590854,31/12/2024,0.585608,31/03/2025,0.580362,30/06/2025,0.575235,30/09/2025
USDJPY:CUR,USDJPY,Japan,2024-11-22T12:05:08.007,currency,154.351,,/japan/currency,5,155.48416,31/12/2024,157.084709,31/03/2025,158.700649,30/06/2025,160.331978,30/09/2025
USDCNY:CUR,USDCNY,China,2024-11-22T12:04:49.263,currency,7.25983,,/china/currency,6,7.205126,31/12/2024,7.233831,31/03/2025,7.262537,30/06/2025,7.29196,30/09/2025
USDCHF:CUR,USDCHF,Switzerland,2024-11-22T12:04:48.36,currency,0.88889,,/switzerland/currency,7,0.8808,31/12/2024,0.887097,31/03/2025,0.893394,30/06/2025,0.899691,30/09/2025
USDCAD:CUR,USDCAD,Canada,2024-11-22T12:04:48.367,currency,1.39946,,/canada/currency,8,1.396374,31/12/2024,1.402768,31/03/2025,1.409301,30/06/2025,1.415695,30/09/2025
USDMXN:CUR,USDMXN,Mexico,2024-11-22T12:05:01.69,currency,20.4312,,/mexico/currency,9,20.916802,31/12/2024,21.183245,31/03/2025,21.451753,30/06/2025,21.724393,30/09/2025
USDINR:CUR,USDINR,India,2024-11-22T12:05:21,currency,84.4435,,/india/currency,10,84.413672,31/12/2024,84.565343,31/03/2025,84.717015,30/06/2025,84.868686,30/09/2025
USDBRL:CUR,USDBRL,Brazil,2024-11-22T12:04:53,currency,5.8087,,/brazil/currency,11,5.815613,31/12/2024,5.880602,31/03/2025,5.946741,30/06/2025,6.013455,30/09/2025
USDRUB:CUR,USDRUB,Russia,2024-11-22T12:05:39,currency,103.02404,,/russia/currency,12,99.876464,31/12/2024,101.585097,31/03/2025,103.323189,30/06/2025,105.09074,30/09/2025
USDKRW:CUR,USDKRW,South Korea,2024-11-22T12:05:39,currency,1406.01,,/south-korea/currency,13,1406.991048,31/12/2024,1417.88172,31/03/2025,1428.772392,30/06/2025,1439.802688,30/09/2025
USDTRY:CUR,USDTRY,Turkey,2024-11-22T12:05:18.583,currency,34.55775,,/turkey/currency,14,34.400817,31/12/2024,34.561745,31/03/2025,34.726096,30/06/2025,34.887024,30/09/2025
DXY:CUR,DXY,United States,2024-11-22T12:03:49.343,currency,107.47374,,/united-states/currency,16,105.455984,31/12/2024,106.022387,31/03/2025,106.59928,30/06/2025,107.176173,30/09/2025
USDIDR:CUR,USDIDR,Indonesia,2024-11-22T12:05:44,currency,15919.05,,/indonesia/currency,18,15943.24904,31/12/2024,16057.23116,31/03/2025,16171.21328,30/06/2025,16285.1954,30/09/2025
USDSAR:CUR,USDSAR,Saudi Arabia,2024-11-22T12:05:21,currency,3.75423,,/saudi-arabia/currency,21,3.75668,31/12/2024,3.75668,31/03/2025,3.75668,30/06/2025,3.75668,30/09/2025
USDSEK:CUR,USDSEK,Sweden,2024-11-22T12:04:48.36,currency,11.0824,,/sweden/currency,23,10.948157,31/12/2024,11.054418,31/03/2025,11.161764,30/06/2025,11.270193,30/09/2025
USDNGN:CUR,USDNGN,Nigeria,2024-11-22T05:11:41,currency,1675.6,,/nigeria/currency,24,1756.564815,31/12/2024,1834.44373,31/03/2025,1915.686745,30/06/2025,2000.462065,30/09/2025
USDPLN:CUR,USDPLN,Poland,2024-11-22T12:04:52.073,currency,4.163,,/poland/currency,25,4.096305,31/12/2024,4.134455,31/03/2025,4.173011,30/06/2025,4.211568,30/09/2025
USDARS:CUR,USDARS,Argentina,2024-11-22T12:05:36,currency,1004.0328,,/argentina/currency,26,1069.444867,31/12/2024,1152.137485,31/03/2025,1241.183438,30/06/2025,1337.079079,30/09/2025
USDNOK:CUR,USDNOK,Norway,2024-11-22T12:04:52.073,currency,11.09329,,/norway/currency,29,11.24271,31/12/2024,11.378232,31/03/2025,11.515975,30/06/2025,11.655939,30/09/2025
USDTWD:CUR,USDTWD,Taiwan,2024-11-22T12:05:40,currency,32.5835,,/taiwan/currency,30,32.390879,31/12/2024,32.571258,31/03/2025,32.754857,30/06/2025,32.938457,30/09/2025
USDIRR:CUR,USDIRR,Iran,2024-11-22T00:00:00,currency,42105,,/iran/currency,32,42138.80175,31/12/2024,42185.1035,31/03/2025,42231.40525,30/06/2025,42277.707,30/09/2025
USDAED:CUR,USDAED,United Arab Emirates,2024-11-22T12:05:27,currency,3.67299,,/united-arab-emirates/currency,33,3.67305,31/12/2024,3.67305,31/03/2025,3.67305,30/06/2025,3.67305,30/09/2025
USDCOP:CUR,USDCOP,Colombia,2024-11-22T12:05:38,currency,4389.25,,/colombia/currency,34,4465.9648,31/12/2024,4515.87125,31/03/2025,4566.661,30/06/2025,4617.8924,30/09/2025
USDTHB:CUR,USDTHB,Thailand,2024-11-22T12:05:27,currency,34.5195,,/thailand/currency,35,34.453499,31/12/2024,34.743914,31/03/2025,35.034329,30/06/2025,35.328161,30/09/2025
USDZAR:CUR,USDZAR,South Africa,2024-11-22T12:05:18.783,currency,18.03545,,/south-africa/currency,36,17.839451,31/12/2024,18.049264,31/03/2025,18.262604,30/06/2025,18.477707,30/09/2025
USDDKK:CUR,USDDKK,Denmark,2024-11-22T12:04:50.663,currency,7.15973,,/denmark/currency,37,6.973161,31/12/2024,7.013372,31/03/2025,7.054277,30/06/2025,7.095181,30/09/2025
USDMYR:CUR,USDMYR,Malaysia,2024-11-22T12:05:31,currency,4.4675,,/malaysia/currency,38,4.430361,31/12/2024,4.457223,31/03/2025,4.484524,30/06/2025,4.511826,30/09/2025
USDSGD:CUR,USDSGD,Singapore,2024-11-22T12:04:49.263,currency,1.34759,,/singapore/currency,39,1.335142,31/12/2024,1.340593,31/03/2025,1.346178,30/06/2025,1.35163,30/09/2025
USDILS:CUR,USDILS,Israel,2024-11-22T12:05:15.527,currency,3.71545,,/israel/currency,40,3.781393,31/12/2024,3.822169,31/03/2025,3.863694,30/06/2025,3.905219,30/09/2025
USDZMW:CUR,USDZMW,Zambia,2024-11-22T12:05:40,currency,27.70258,,/zambia/currency,40,27.512342,31/12/2024,28.054657,31/03/2025,28.607763,30/06/2025,29.171663,30/09/2025
USDHKD:CUR,USDHKD,Hong Kong,2024-11-22T12:02:48.24,currency,7.78459,,/hong-kong/currency,41,7.779992,31/12/2024,7.785434,31/03/2025,7.790877,30/06/2025,7.796319,30/09/2025
USDEGP:CUR,USDEGP,Egypt,2024-11-22T12:05:43,currency,49.6843,,/egypt/currency,42,51.302341,31/12/2024,53.435014,31/03/2025,55.661267,30/06/2025,57.976177,30/09/2025
